"rep","mode","n_changepoints","precision","recall","F1","changepoints"
57,"both",8,0.625,0.5,0.555555555555556,"1070,1590,1685,1866,2047,2428,2572,2768"
58,"right",6,0.666666666666667,0.4,0.5,"1070,1525,1685,1866,1964,2681"
58,"both",8,0.625,0.5,0.555555555555556,"1070,1525,1685,1866,1983,2424,2572,2762"
59,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2040,2573,2767"
59,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2574,2767"
60,"right",6,0.666666666666667,0.4,0.5,"1070,1526,1685,1866,2010,2659"
60,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2577,2768"
61,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2720"
61,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2429,2572,2768"
62,"right",6,0.833333333333333,0.5,0.625,"1070,1531,1685,1866,2045,2708"
62,"both",8,0.75,0.6,0.666666666666667,"1070,1531,1685,1866,2045,2428,2572,2768"
63,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,1969,2585,2768"
63,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2576,2768"
64,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2040,2591,2768"
64,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2048,2428,2572,2768"
65,"right",6,0.666666666666667,0.4,0.5,"1070,1571,1685,1866,2047,2667"
65,"both",8,0.625,0.5,0.555555555555556,"1070,1571,1685,1866,2047,2428,2571,2775"
66,"right",6,0.666666666666667,0.4,0.5,"1070,1526,1685,1866,2036,2669"
66,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2573,2768"
67,"right",6,1,0.6,0.75,"1070,1527,1685,1866,2046,2764"
67,"both",8,0.75,0.6,0.666666666666667,"1070,1527,1685,1866,2046,2428,2574,2768"
68,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2591,2768"
68,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2573,2768"
69,"right",7,1,0.7,0.823529411764706,"1068,1526,1685,1866,2040,2589,2768"
69,"both",8,0.75,0.6,0.666666666666667,"1068,1526,1685,1866,2046,2428,2572,2768"
70,"right",6,0.333333333333333,0.2,0.25,"1070,1560,1685,1909,2024,2692"
70,"both",8,0.5,0.4,0.444444444444444,"1070,1560,1685,1909,2047,2428,2579,2768"
71,"right",6,0.666666666666667,0.4,0.5,"1070,1527,1685,1866,2031,2704"
71,"both",8,0.875,0.7,0.777777777777778,"1070,1527,1685,1866,2047,2409,2576,2768"
72,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2588,2768"
72,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2574,2768"
73,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2046,2585,2768"
73,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2575,2768"
74,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1525,1685,1866,2019,2591,2768"
74,"both",8,0.75,0.6,0.666666666666667,"1070,1525,1685,1866,2047,2428,2576,2766"
75,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2048,2591,2768"
75,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2048,2428,2575,2768"
76,"right",7,0.714285714285714,0.5,0.588235294117647,"1070,1551,1685,1866,2047,2468,2752"
76,"both",8,0.75,0.6,0.666666666666667,"1070,1551,1685,1866,2047,2428,2589,2768"
77,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2048,2575,2768"
77,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2573,2768"
78,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2702"
78,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2761"
79,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2043,2565,2768"
79,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2573,2768"
80,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2591,2768"
80,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2768"
81,"right",7,0.571428571428571,0.4,0.470588235294118,"1070,1526,1667,1866,2047,2368,2678"
81,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1667,1866,2047,2420,2583,2741"
82,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1527,1685,1866,2047,2558,2758"
82,"both",8,0.75,0.6,0.666666666666667,"1070,1527,1685,1866,2047,2428,2573,2764"
83,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2589,2768"
83,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2574,2768"
84,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1525,1685,1866,2047,2565,2768"
84,"both",8,0.75,0.6,0.666666666666667,"1070,1525,1685,1866,2047,2428,2575,2768"
85,"right",6,0.666666666666667,0.4,0.5,"1070,1526,1685,1866,2031,2712"
85,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2576,2768"
86,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1534,1685,1866,1979,2586,2768"
86,"both",8,0.75,0.6,0.666666666666667,"1070,1534,1685,1866,1995,2428,2585,2768"
87,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1867,2047,2591,2768"
87,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1867,2047,2428,2573,2768"
