"k","n","SVP","SVP_nchanges","PELT","PELT_nchanges","penalty_svp","penalty_pelt"
2,10000,1.64599999999999,3,0.0480000000000018,2,36.8413614879047,18.4206807439524
2,10000,1.709,3,0.0510000000000161,2,36.8413614879047,18.4206807439524
2,10000,1.71300000000002,3,0.0529999999999973,2,36.8413614879047,18.4206807439524
2,10000,1.65999999999997,3,0.0480000000000018,2,36.8413614879047,18.4206807439524
2,10000,1.68299999999999,3,0.0540000000000305,2,36.8413614879047,18.4206807439524
3,10000,1.34999999999997,4,0.0409999999999968,3,36.8413614879047,18.4206807439524
3,10000,1.35900000000004,4,0.04200000000003,3,36.8413614879047,18.4206807439524
3,10000,1.46799999999996,4,0.0369999999999777,3,36.8413614879047,18.4206807439524
3,10000,1.35200000000003,4,0.0390000000000441,3,36.8413614879047,18.4206807439524
3,10000,1.33100000000002,4,0.0369999999999777,3,36.8413614879047,18.4206807439524
3,10000,1.36199999999997,4,0.0449999999999591,3,36.8413614879047,18.4206807439524
3,10000,1.57900000000001,4,0.0489999999999782,3,36.8413614879047,18.4206807439524
3,10000,2.11500000000001,4,0.0679999999999836,3,36.8413614879047,18.4206807439524
3,10000,2.20699999999999,4,0.0699999999999932,3,36.8413614879047,18.4206807439524
3,10000,11.872,4,0.387,3,36.8413614879047,18.4206807439524
4,10000,11.165,5,0.300000000000011,4,36.8413614879047,18.4206807439524
4,10000,11.005,5,0.295000000000016,4,36.8413614879047,18.4206807439524
4,10000,2.536,5,0.0260000000000105,4,36.8413614879047,18.4206807439524
4,10000,1.08299999999997,5,0.0250000000000341,4,36.8413614879047,18.4206807439524
4,10000,1.02199999999999,5,0.02800000000002,4,36.8413614879047,18.4206807439524
4,10000,1.01900000000001,5,0.0279999999999632,4,36.8413614879047,18.4206807439524
4,10000,1.00299999999999,5,0.0270000000000437,4,36.8413614879047,18.4206807439524
4,10000,1.01300000000003,5,0.0339999999999918,4,36.8413614879047,18.4206807439524
4,10000,1.25,5,0.0320000000000391,4,36.8413614879047,18.4206807439524
4,10000,1.125,5,0.0310000000000059,4,36.8413614879047,18.4206807439524
5,10000,0.887,6,0.0260000000000105,5,36.8413614879047,18.4206807439524
5,10000,0.88900000000001,6,0.0219999999999914,5,36.8413614879047,18.4206807439524
5,10000,0.896000000000015,6,0.0219999999999914,5,36.8413614879047,18.4206807439524
5,10000,0.880000000000052,6,0.0219999999999914,5,36.8413614879047,18.4206807439524
5,10000,0.879000000000019,6,0.0230000000000246,5,36.8413614879047,18.4206807439524
5,10000,0.87700000000001,6,0.0229999999999677,5,36.8413614879047,18.4206807439524
5,10000,0.881000000000029,6,0.0229999999999677,5,36.8413614879047,18.4206807439524
5,10000,0.864000000000033,6,0.0230000000000246,5,36.8413614879047,18.4206807439524
5,10000,0.889999999999986,6,0.0240000000000009,5,36.8413614879047,18.4206807439524
5,10000,0.877999999999986,6,0.0220000000000482,5,36.8413614879047,18.4206807439524
6,10000,0.769000000000005,7,0.0220000000000482,6,36.8413614879047,18.4206807439524
6,10000,0.784999999999968,7,0.021000000000015,6,36.8413614879047,18.4206807439524
6,10000,0.770000000000039,7,0.0190000000000055,6,36.8413614879047,18.4206807439524
6,10000,0.764999999999986,7,0.0190000000000055,6,36.8413614879047,18.4206807439524
6,10000,0.781000000000006,7,0.0199999999999818,6,36.8413614879047,18.4206807439524
6,10000,0.776999999999987,7,0.0169999999999959,6,36.8413614879047,18.4206807439524
6,10000,0.773000000000025,7,0.0199999999999818,6,36.8413614879047,18.4206807439524
6,10000,0.775999999999954,7,0.0199999999999818,6,36.8413614879047,18.4206807439524
6,10000,0.77800000000002,7,0.021000000000015,6,36.8413614879047,18.4206807439524
6,10000,0.772999999999968,7,0.0199999999999818,6,36.8413614879047,18.4206807439524
7,10000,0.697000000000003,8,0.0169999999999959,7,36.8413614879047,18.4206807439524
7,10000,0.687000000000012,8,0.0180000000000291,7,36.8413614879047,18.4206807439524
7,10000,0.688000000000045,8,0.0180000000000291,7,36.8413614879047,18.4206807439524
7,10000,0.689999999999998,8,0.0190000000000055,7,36.8413614879047,18.4206807439524
7,10000,0.69399999999996,8,0.0169999999999959,7,36.8413614879047,18.4206807439524
7,10000,0.699999999999989,8,0.0169999999999959,7,36.8413614879047,18.4206807439524
7,10000,0.731999999999971,8,0.0199999999999818,7,36.8413614879047,18.4206807439524
7,10000,0.867000000000019,8,0.0260000000000105,7,36.8413614879047,18.4206807439524
7,10000,0.947000000000003,8,0.0240000000000009,7,36.8413614879047,18.4206807439524
7,10000,1.00900000000001,8,0.0249999999999773,7,36.8413614879047,18.4206807439524
8,10000,0.876999999999953,9,0.0219999999999914,8,36.8413614879047,18.4206807439524
8,10000,0.850000000000023,9,0.0240000000000009,8,36.8413614879047,18.4206807439524
8,10000,0.899000000000001,9,0.0220000000000482,8,36.8413614879047,18.4206807439524
8,10000,0.865000000000009,9,0.021000000000015,8,36.8413614879047,18.4206807439524
8,10000,0.894000000000005,9,0.0229999999999677,8,36.8413614879047,18.4206807439524
8,10000,0.899000000000001,9,0.0219999999999914,8,36.8413614879047,18.4206807439524
8,10000,0.853000000000009,9,0.0230000000000246,8,36.8413614879047,18.4206807439524
8,10000,0.85899999999998,9,0.021000000000015,8,36.8413614879047,18.4206807439524
8,10000,0.849999999999966,9,0.0200000000000387,8,36.8413614879047,18.4206807439524
8,10000,0.84699999999998,9,0.021000000000015,8,36.8413614879047,18.4206807439524
9,10000,0.769000000000005,10,0.0199999999999818,9,36.8413614879047,18.4206807439524
9,10000,0.774000000000001,10,0.0199999999999818,9,36.8413614879047,18.4206807439524
9,10000,0.757999999999981,10,0.0190000000000055,9,36.8413614879047,18.4206807439524
9,10000,0.777999999999963,10,0.0190000000000055,10,36.8413614879047,18.4206807439524
9,10000,0.762999999999977,10,0.021000000000015,9,36.8413614879047,18.4206807439524
9,10000,0.761000000000024,10,0.0199999999999818,9,36.8413614879047,18.4206807439524
9,10000,0.953000000000031,10,0.0550000000000068,9,36.8413614879047,18.4206807439524
9,10000,5.89799999999997,10,0.162000000000035,9,36.8413614879047,18.4206807439524
9,10000,5.98599999999999,10,0.161000000000001,9,36.8413614879047,18.4206807439524
9,10000,6.01099999999997,10,0.158000000000015,9,36.8413614879047,18.4206807439524
10,10000,2.04699999999997,11,0.0129999999999768,10,36.8413614879047,18.4206807439524
10,10000,0.474999999999966,11,0.0120000000000005,10,36.8413614879047,18.4206807439524
10,10000,0.484999999999957,11,0.0129999999999768,10,36.8413614879047,18.4206807439524
10,10000,0.48599999999999,11,0.0120000000000005,10,36.8413614879047,18.4206807439524
10,10000,0.490000000000009,11,0.0120000000000005,10,36.8413614879047,18.4206807439524
10,10000,0.492000000000019,11,0.0120000000000005,10,36.8413614879047,18.4206807439524
10,10000,0.494000000000028,11,0.0120000000000005,10,36.8413614879047,18.4206807439524
10,10000,0.492999999999995,11,0.0120000000000005,10,36.8413614879047,18.4206807439524
10,10000,0.48599999999999,11,0.0130000000000337,10,36.8413614879047,18.4206807439524
10,10000,0.498000000000047,11,0.0120000000000005,10,36.8413614879047,18.4206807439524
11,10000,0.459000000000003,12,0.0120000000000005,11,36.8413614879047,18.4206807439524
11,10000,0.459000000000003,12,0.0109999999999673,11,36.8413614879047,18.4206807439524
