"n","PELT","PELT_nchanges","SVP","SVP_nchanges"
11789,0.217000000000001,0,0.173,1
11789,0.213999999999999,0,0.179,1
11789,0.215,0,0.169,1
11789,0.218999999999999,0,0.187999999999999,1
11789,0.212999999999999,0,0.171999999999999,1
11789,0.218,0,0.167,1
11789,0.215999999999999,0,0.180999999999999,1
11789,0.216000000000001,0,0.18,1
11789,0.218999999999999,0,0.178999999999998,1
11789,0.215,0,0.173999999999999,1
11789,0.221,0,0.167999999999999,1
11789,0.215,0,0.186,1
11789,0.222999999999999,0,0.173999999999999,1
11789,0.220000000000002,0,0.184000000000001,1
12816,0.260000000000002,0,0.202999999999999,1
12816,0.262999999999998,0,0.202000000000002,1
12816,0.257999999999999,0,0.204000000000001,1
12816,0.262999999999998,0,0.196000000000002,1
12816,0.260000000000002,0,0.218,1
12816,0.256,0,0.223000000000003,1
12816,0.287000000000003,0,0.222999999999999,1
12816,0.283999999999999,0,0.255000000000003,1
12816,0.312000000000001,0,0.245000000000001,1
12816,0.358000000000001,0,0.291,1
12816,0.376000000000001,0,0.384,1
12816,0.489000000000001,0,0.376000000000001,1
12816,0.492999999999999,0,0.385000000000002,1
12816,0.490000000000002,0,0.367000000000001,1
12816,0.474,0,0.312999999999999,1
12816,0.373000000000001,0,0.306000000000001,1
12816,0.388999999999999,0,0.292000000000002,1
12816,0.381999999999998,0,0.312000000000001,1
12816,0.385999999999999,0,0.294999999999998,1
12816,0.388999999999999,0,0.303000000000001,1
13842,0.439999999999998,0,0.354999999999997,1
13842,0.458999999999996,0,0.337999999999994,1
13842,0.457000000000001,0,0.344999999999999,1
13842,0.448,0,0.349000000000004,1
13842,0.433,0,0.344999999999999,1
13842,0.451000000000001,0,0.329999999999998,1
13842,0.442999999999998,0,0.350999999999999,1
13842,0.436,0,0.354999999999997,1
13842,0.445,0,0.327999999999996,1
13842,0.451999999999998,0,0.350000000000001,1
13842,0.449000000000005,0,0.341000000000001,1
13842,0.447000000000003,0,0.337000000000003,1
13842,0.427999999999997,0,0.353000000000002,1
13842,0.439,0,0.329000000000001,1
13842,0.442,0,0.377000000000002,1
