"method","n","replicates","mean_time","median_time","lower","upper"
"SVP Gaussian / none / c = 0.968",2686,48,0.00727413467380265,0.00746428571428583,0.00263980263158132,0.0114999999999971
"SVP Gaussian / none / c = 0.968",3219,48,0.00992670644414344,0.00825000000000387,0.00352392344498032,0.013024999999999
"SVP Gaussian / none / c = 0.968",3856,48,0.0125392343904264,0.0106666666666608,0.00508333333333392,0.0186666666666658
"SVP Gaussian / none / c = 0.968",4621,48,0.017690469426401,0.0129999999999995,0.00166964285714385,0.0279999999999063
"SVP Gaussian / none / c = 0.968",5537,48,0.0247285077335942,0.019833333333357,0.00755357142857552,0.0330000000000155
"SVP Gaussian / none / c = 0.968",6634,48,0.0430189487687179,0.0419999999999945,0.026333333333317,0.0599999999999454
"SVP Gaussian / none / c = 0.968",7949,48,0.0566572465728769,0.0584999999999809,0.028916666666646,0.0779999999999887
"SVP Gaussian / none / c = 0.968",9524,48,0.0565085285419952,0.0400000000000205,0.00789999999999631,0.0779999999999745
"SVP Gaussian / none / c = 0.968",11412,48,0.087248296522553,0.0615000000000236,0.0129401785714061,0.110000000000127
"SVP Gaussian / none / c = 0.968",13674,48,0.128734399801588,0.120999999999981,0.0314999999999941,0.15353749999998
"SVP Gaussian / none / c = 0.968",16384,48,0.193504717522978,0.120000000000005,0.0394999999999754,0.224887499999977
"SVP Gaussian / right / c = 1.642",256,12,0.000146624553808765,6.46975393028027e-05,6.42857142857143e-05,6.90909090909091e-05
"SVP Gaussian / right / c = 1.642",307,12,6.82378531556166e-05,6.80194805194808e-05,6.78571428571433e-05,6.87499999999998e-05
"SVP Gaussian / right / c = 1.642",368,12,7.35507498453922e-05,7.36038961038964e-05,7.29707792207772e-05,7.40665584415568e-05
"SVP Gaussian / right / c = 1.642",440,12,7.98214285714288e-05,7.97321428571427e-05,7.94642857142845e-05,8.00000000000009e-05
"SVP Gaussian / right / c = 1.642",528,12,8.69358766233766e-05,8.68100649350656e-05,8.63636363636353e-05,8.74999999999991e-05
"SVP Gaussian / right / c = 1.642",632,12,9.51118326118336e-05,9.46428571428586e-05,9.40476190476171e-05,9.56168831168829e-05
"SVP Gaussian / right / c = 1.642",758,12,0.000662835497835445,0.000109821428571426,0.000107207792207792,0.000111607142857143
"SVP Gaussian / right / c = 1.642",908,12,0.000120035173160173,0.00012071428571428,0.000118750000000002,0.000121623376623381
"SVP Gaussian / right / c = 1.642",1088,12,0.000137831439393939,0.000137499999999997,0.0001359375,0.000139853896103897
"SVP Gaussian / right / c = 1.642",1303,12,0.000156709956709959,0.000155600649350649,0.000153571428571426,0.000159821428571437
"SVP Gaussian / right / c = 1.642",1561,12,0.000181443903318907,0.000181682900432904,0.000178571428571444,0.000182142857142864
"SVP Gaussian / right / c = 1.642",1871,12,0.000211579611908548,0.000210714285714277,0.000209210526315779,0.000214473684210503
"SVP Gaussian / right / c = 1.642",2242,12,0.000245619446343136,0.000245095693779914,0.0002418181818182,0.000249999999999997
"SVP Gaussian / right / c = 1.642",2686,12,0.000305544756778306,0.000305263157894699,0.000300000000000011,0.000309090909090899
"SVP Gaussian / right / c = 1.642",3219,12,0.000342306286549701,0.000341071428571433,0.000338063909774424,0.000348214285714274
"SVP Gaussian / right / c = 1.642",3856,12,0.000420193001442999,0.000406601731601761,0.000404761904761892,0.000412175324675319
"SVP Gaussian / right / c = 1.642",4621,12,0.000496534992784965,0.000495508658008634,0.000487878787878792,0.000505979437229442
"SVP Gaussian / right / c = 1.642",5537,12,0.021620670995671,0.000589285714285737,0.000581087662337683,0.00059456168831171
"SVP Gaussian / right / c = 1.642",6634,12,0.050642221320347,0.000702678571428471,0.000690909090909031,0.000714285714285826
"SVP Gaussian / right / c = 1.642",7949,12,0.000846464646464681,0.000845454545454707,0.000834848484848543,0.000859090909090877
"SVP Gaussian / right / c = 1.642",9524,12,0.00101413239538245,0.00101818181818203,0.000994047619047629,0.00102727272727272
"SVP Gaussian / right / c = 1.642",11412,12,0.00122613636363647,0.0012251623376623,0.00121428571428593,0.00124107142857177
"SVP Gaussian / right / c = 1.642",13674,12,0.00147248376623389,0.00148214285714283,0.00143750000000027,0.00150454545454547
"SVP Gaussian / right / c = 1.642",16384,12,0.00180983709273194,0.00178759398496239,0.00178571428571469,0.00182142857142813
