"method","k","replicates","mean_time","median_time","lower","upper"
"PELT",97,12,0.00155603354978355,0.00154951298701296,0.00153571428571426,0.00155357142857174
"PELT",98,12,0.00155208333333339,0.00153571428571451,0.00153571428571401,0.00157142857142872
"PELT",99,12,0.00154705086580088,0.00153571428571401,0.00151785714285728,0.0015625000000001
"PELT",100,12,0.00161920995670999,0.00152727272727279,0.00151785714285728,0.00153571428571451
"SVP Gaussian / both / c = 1.987",0,12,2.06908333333333,2.06999999999999,2.04399999999998,2.0925
"SVP Gaussian / both / c = 1.987",1,12,0.992166666666667,0.990000000000009,0.988499999999988,0.999000000000024
"SVP Gaussian / both / c = 1.987",2,12,0.646416666666662,0.645999999999987,0.639500000000027,0.650999999999982
"SVP Gaussian / both / c = 1.987",3,12,0.475583333333328,0.476499999999987,0.472000000000008,0.477000000000032
"SVP Gaussian / both / c = 1.987",4,12,0.376166666666649,0.375499999999988,0.37299999999999,0.379999999999995
"SVP Gaussian / both / c = 1.987",5,12,0.306666666666677,0.307000000000016,0.304500000000019,0.307999999999993
"SVP Gaussian / both / c = 1.987",6,12,0.259416666666671,0.258999999999986,0.258000000000038,0.260500000000008
"SVP Gaussian / both / c = 1.987",7,12,0.226083333333335,0.225500000000011,0.224999999999966,0.227499999999992
"SVP Gaussian / both / c = 1.987",8,12,0.19908333333332,0.198999999999955,0.197499999999991,0.200499999999977
"SVP Gaussian / both / c = 1.987",9,12,0.17625000000001,0.176500000000033,0.1755,0.177000000000021
"SVP Gaussian / both / c = 1.987",10,12,0.159833333333315,0.160000000000025,0.15949999999998,0.160999999999945
"SVP Gaussian / both / c = 1.987",11,12,0.144666666666656,0.144499999999994,0.144000000000005,0.14549999999997
"SVP Gaussian / both / c = 1.987",12,12,0.133583333333358,0.134000000000015,0.13250000000005,0.134500000000003
"SVP Gaussian / both / c = 1.987",13,12,0.123000000000009,0.123000000000047,0.122000000000014,0.124000000000024
"SVP Gaussian / both / c = 1.987",14,12,0.113833333333351,0.114000000000033,0.113000000000056,0.114500000000021
"SVP Gaussian / both / c = 1.987",15,12,0.106500000000011,0.10650000000004,0.105999999999995,0.107000000000028
"SVP Gaussian / both / c = 1.987",16,12,0.0996666666666594,0.0995000000000346,0.0989999999999327,0.100999999999999
"SVP Gaussian / both / c = 1.987",17,12,0.0938333333333314,0.0935000000000059,0.0930000000000177,0.0944999999999823
"SVP Gaussian / both / c = 1.987",18,12,0.0884166666666791,0.0880000000000791,0.0879999999999654,0.0889999999999986
"SVP Gaussian / both / c = 1.987",19,12,0.0835000000000055,0.083500000000015,0.08299999999997,0.08400000000006
"SVP Gaussian / both / c = 1.987",20,12,0.0793333333333237,0.0790000000000077,0.0789999999999509,0.0799999999999841
"SVP Gaussian / both / c = 1.987",21,12,0.0787500000000136,0.0750000000000455,0.0749999999999886,0.0760000000000218
"SVP Gaussian / both / c = 1.987",22,12,0.0718333333333305,0.0720000000000027,0.0710000000000264,0.0720000000000027
"SVP Gaussian / both / c = 1.987",23,12,0.0689166666666665,0.06899999999996,0.0679999999999836,0.0695000000000618
"SVP Gaussian / both / c = 1.987",24,12,0.0657499999999895,0.0659999999999172,0.0650000000000546,0.0660000000000309
"SVP Gaussian / both / c = 1.987",25,12,0.0631666666666604,0.0629999999999882,0.0629999999999882,0.0635000000000332
"SVP Gaussian / both / c = 1.987",26,12,0.0604166666666686,0.0600000000000591,0.0599999999999454,0.0610000000000355
"SVP Gaussian / both / c = 1.987",27,12,0.05783333333333,0.0579999999999927,0.0570000000000164,0.0579999999999927
