"method","detected","replicates","mean_time","median_time","lower","upper"
"PELT",67,13,0.00192886061307112,0.0019285714285715,0.00192857142857099,0.0019285714285715
"PELT",68,12,0.0019309210526316,0.0019285714285715,0.00190695488721816,0.0019285714285715
"PELT",69,12,0.00190476190476195,0.00189285714285705,0.00189285714285705,0.00189285714285755
"PELT",70,12,0.00188690476190485,0.00189285714285705,0.0018571428571431,0.00189285714285755
"PELT",71,12,0.00185510651629089,0.0018571428571431,0.0018571428571431,0.0018571428571431
"PELT",72,11,0.00183441558441562,0.00182142857142864,0.00182142857142864,0.0018571428571431
"PELT",73,13,0.00189647194910354,0.00185714285714259,0.00182142857142864,0.00196428571428596
"PELT",74,12,0.00185369674185478,0.00181860902255646,0.00179464285714305,0.00182142857142864
"PELT",75,10,0.00181428571428577,0.00181250000000003,0.00178571428571469,0.00182142857142864
"PELT",76,14,0.00179464285714291,0.00178571428571418,0.00176785714285721,0.00178571428571469
"PELT",77,11,0.00179545454545456,0.00176785714285721,0.00176785714285696,0.00185714285714259
"PELT",78,13,0.00179605394605393,0.00174999999999998,0.00174999999999998,0.00176363636363626
"PELT",79,11,0.00175811688311695,0.00173214285714301,0.00173214285714275,0.00178571428571418
"PELT",80,12,0.00172658208020046,0.00172321428571427,0.00171428571428565,0.00173449248120293
"PELT",81,11,0.00171711924439197,0.00171428571428578,0.00171428571428553,0.00171428571428578
"PELT",82,14,0.00176934137291284,0.00171428571428578,0.0017027597402598,0.00176532467532478
"PELT",83,12,0.00168257575757581,0.00167857142857158,0.00167857142857132,0.00169366883116898
"PELT",84,12,0.00170292207792215,0.00167857142857132,0.0016607142857146,0.0017025974025976
"PELT",85,11,0.00177868949232594,0.0016607142857146,0.0016607142857141,0.00167857142857132
"PELT",86,11,0.00167129031255825,0.0016607142857141,0.00164285714285687,0.00167272727272751
"PELT",87,12,0.00165089285714298,0.00164285714285737,0.00162500000000015,0.0016576298701301
"PELT",88,14,0.00162792207792215,0.00162500000000015,0.00162499999999989,0.00163076298701309
"PELT",89,11,0.00170209563164113,0.00162499999999964,0.00161818181818179,0.00169642857142855
"PELT",90,11,0.00160976977567888,0.00160714285714292,0.00160714285714292,0.00161818181818179
"PELT",91,13,0.00161936090225573,0.00160714285714292,0.0015892857142862,0.00162500000000015
"PELT",92,13,0.001593956043956,0.00158928571428569,0.00158928571428569,0.00159999999999989
"PELT",93,11,0.0016716056670601,0.00159999999999989,0.00157142857142846,0.0017090909090908
"PELT",94,13,0.00158209290709289,0.00158181818181798,0.00157142857142846,0.00158928571428569
"PELT",95,12,0.00158317099567104,0.00157142857142846,0.00155357142857174,0.00158928571428569
"PELT",96,11,0.00155959268004711,0.00155357142857123,0.00155357142857123,0.00156363636363608
"PELT",97,13,0.00165127372627366,0.00155357142857174,0.00155357142857123,0.00156363636363608
"PELT",98,12,0.00155603354978355,0.00154951298701296,0.00153571428571426,0.00155357142857174
"PELT",99,12,0.00155208333333339,0.00153571428571451,0.00153571428571401,0.00157142857142872
"PELT",100,11,0.00154970484061394,0.00153571428571401,0.00151785714285728,0.00158928571428569
"PELT",101,13,0.00161141358641363,0.00152727272727279,0.00151785714285728,0.00153571428571451
"SVP Gaussian / both / c = 1.987",1,12,2.06908333333333,2.06999999999999,2.04399999999998,2.0925
"SVP Gaussian / both / c = 1.987",2,12,0.992166666666667,0.990000000000009,0.988499999999988,0.999000000000024
"SVP Gaussian / both / c = 1.987",3,12,0.646416666666662,0.645999999999987,0.639500000000027,0.650999999999982
"SVP Gaussian / both / c = 1.987",4,12,0.475583333333328,0.476499999999987,0.472000000000008,0.477000000000032
"SVP Gaussian / both / c = 1.987",5,12,0.376166666666649,0.375499999999988,0.37299999999999,0.379999999999995
"SVP Gaussian / both / c = 1.987",6,12,0.306666666666677,0.307000000000016,0.304500000000019,0.307999999999993
"SVP Gaussian / both / c = 1.987",7,12,0.259416666666671,0.258999999999986,0.258000000000038,0.260500000000008
"SVP Gaussian / both / c = 1.987",8,12,0.226083333333335,0.225500000000011,0.224999999999994,0.227499999999992
"SVP Gaussian / both / c = 1.987",9,12,0.19908333333332,0.198999999999955,0.197499999999991,0.200499999999977
