"method","n","replicates","mean_time","median_time","lower","upper"
"SVP AR1Focus + AR1 cost / right / c = 1.950",482,64,8.37950414540834e-05,8.3636363636369e-05,8.36363636363625e-05,8.4183673469391e-05
"SVP AR1Focus + AR1 cost / right / c = 1.950",595,64,9.4210729746447e-05,9.42424242424264e-05,9.27272727273021e-05,9.45454545454409e-05
"SVP AR1Focus + AR1 cost / right / c = 1.950",735,64,0.000514754971590922,0.000110714285714307,0.000109090909090913,0.000110909090909104
"SVP AR1Focus + AR1 cost / right / c = 1.950",908,64,0.000128849051339284,0.000128571428571408,0.000127029220779238,0.000129090909090905
"SVP AR1Focus + AR1 cost / right / c = 1.950",1121,64,0.000149802440862717,0.000150000000000006,0.000148214285714258,0.000151785714285678
"SVP AR1Focus + AR1 cost / right / c = 1.950",1384,64,0.00018162582541989,0.000178896103896146,0.000178571428571452,0.000184821428571372
"SVP AR1Focus + AR1 cost / right / c = 1.950",1709,64,0.000219945887445889,0.000221240601503683,0.000218181818181826,0.00022143344155848
"SVP AR1Focus + AR1 cost / right / c = 1.950",2111,64,0.000267389794621509,0.000266823308270554,0.000263157894736902,0.000268421052631514
"SVP AR1Focus + AR1 cost / right / c = 1.950",2606,64,0.000335011289765597,0.000335714285714265,0.000328571428571373,0.000344047619047604
"SVP AR1Focus + AR1 cost / right / c = 1.950",3219,64,0.00040555414637444,0.000404761904761977,0.000398809523809229,0.000412310606060653
"SVP AR1Focus + AR1 cost / right / c = 1.950",3974,64,0.000526010213744625,0.000518181818181967,0.000517857142857078,0.000527378246753182
"SVP AR1Focus + AR1 cost / right / c = 1.950",4908,64,0.0164041380884741,0.000684659090909031,0.000669642857143009,0.000696473214285988
"SVP AR1Focus + AR1 cost / right / c = 1.950",6060,64,0.024217287270021,0.000834821428571735,0.000814285714285948,0.00085714285714289
"SVP AR1Focus + AR1 cost / right / c = 1.950",7484,64,0.00105053520698045,0.00105357142857189,0.00103636363636187,0.0010714285714276
"SVP AR1Focus + AR1 cost / right / c = 1.950",9242,64,0.00132732345779221,0.00132435064935108,0.00130633116883099,0.00133928571428653
"SVP AR1Focus + AR1 cost / right / c = 1.950",11412,64,0.0016693892045453,0.00169642857142906,0.00163636363636215,0.00172321428571414
"SVP AR1Focus + AR1 cost / right / c = 1.950",14092,64,0.00206675869360872,0.00207142857142831,0.00203571428571487,0.0021250000000005
"SVP AR1Focus + AR1 cost / right / c = 1.950",17402,64,0.00259883106202995,0.00263157894736902,0.0025789473684214,0.00267857142856899
"SVP AR1Focus + AR1 cost / right / c = 1.950",21489,64,0.00318650140977457,0.0032124060150391,0.00305263157894699,0.00331578947368359
"SVP AR1Focus + AR1 cost / right / c = 1.950",26536,64,0.00406667058270715,0.00411309523809407,0.00400000000000286,0.00416666666667235
"SVP AR1Focus + AR1 cost / right / c = 1.950",32768,64,0.004976526988637,0.00500000000000493,0.00491666666667356,0.00508333333333629
