"method","detected","replicates","mean_time","median_time","lower","upper"
"PELT AR1 approximate",117,16,7.74600858700093e-05,7.719780219779e-05,7.64019069165996e-05,7.78280542986541e-05
"PELT AR1 approximate",119,16,7.6178986454721e-05,7.56787330316851e-05,7.51131221719443e-05,7.62443438914002e-05
"PELT AR1 approximate",121,16,7.52014774441258e-05,7.47161661867664e-05,7.39285714285692e-05,7.57918552036281e-05
"PELT AR1 approximate",123,16,7.62337999010777e-05,7.48868778280582e-05,7.38465052104825e-05,7.55656108597164e-05
"PELT AR1 approximate",125,15,7.45487739384691e-05,7.27272727272583e-05,7.21212121211948e-05,7.64705882352863e-05
"PELT AR1 approximate",127,15,7.36638002520383e-05,7.15909090909215e-05,7.10407239819182e-05,7.39819004524883e-05
"PELT AR1 approximate",129,15,7.23344914889027e-05,7.14932126696731e-05,7.09374999999923e-05,7.23981900452345e-05
"PELT AR1 approximate",131,16,7.19235562997014e-05,7.14177978883906e-05,7.01357466063225e-05,7.24999999999909e-05
"PELT AR1 approximate",133,16,7.22203306038358e-05,7.17194570135634e-05,7.02865761689475e-05,7.25113122172032e-05
"PELT AR1 approximate",135,15,7.15419151926506e-05,7.10407239818924e-05,6.96832579185504e-05,7.23981900452602e-05
"PELT AR1 approximate",137,16,7.10063213440999e-05,6.99116233031722e-05,6.92307692307751e-05,7.08144796380064e-05
"PELT AR1 approximate",139,16,7.18814495859532e-05,7.05213903743396e-05,6.99095022624364e-05,7.16536404771672e-05
"PELT AR1 approximate",141,16,7.03062493572576e-05,6.93438914027085e-05,6.85520361990944e-05,7.07476347182095e-05
"PELT AR1 approximate",143,15,7.00594776955098e-05,6.92307692307783e-05,6.89981617647201e-05,6.9772727272731e-05
"PELT AR1 approximate",145,16,6.91179711067105e-05,6.85991704373933e-05,6.80995475113223e-05,6.94570135746515e-05
"PELT AR1 approximate",147,15,6.96945958453326e-05,6.90625000000011e-05,6.87500000000085e-05,7.01401654411897e-05
"PELT AR1 approximate",149,16,6.85616290878291e-05,6.73462566844978e-05,6.59502262443534e-05,6.90045248868922e-05
"PELT AR1 approximate",151,16,6.76924427033905e-05,6.62124640065885e-05,6.53846153846125e-05,6.90625000000011e-05
"PELT AR1 approximate",153,16,6.53092869533603e-05,6.50452488687834e-05,6.42710690045228e-05,6.59876465446438e-05
"PELT AR1 approximate",155,16,6.67856365343725e-05,6.54511578387118e-05,6.42145270270583e-05,6.6818181818152e-05
"PELT AR1 approximate",157,15,6.5789386688392e-05,6.53125000000188e-05,6.40271493212447e-05,6.56108597284986e-05
"PELT AR1 approximate",159,16,6.38594201348463e-05,6.32352941176436e-05,6.28959276018145e-05,6.42533936651822e-05
"PELT AR1 approximate",161,16,6.39555839950538e-05,6.28286240786251e-05,6.23635879691218e-05,6.33484162895866e-05
"PELT AR1 approximate",163,16,6.38427319662819e-05,6.26696832579027e-05,6.24434389140424e-05,6.31105234193604e-05
"PELT AR1 approximate",165,16,6.19628973499952e-05,6.19634340222286e-05,6.15384615384982e-05,6.2432432432431e-05
"PELT AR1 approximate",167,16,6.22560908309695e-05,6.13317842729373e-05,6.10859728506746e-05,6.14510489510395e-05
"PELT AR1 approximate",169,16,6.19757398801572e-05,6.08597285067886e-05,6.07466063348455e-05,6.1107878806421e-05
"PELT AR1 approximate",171,15,6.23518559369967e-05,6.06334841629025e-05,6.06290106951439e-05,6.09668968802299e-05
"PELT AR1 approximate",173,16,6.11638607964117e-05,6.01676869842939e-05,5.99547511312444e-05,6.02289438502893e-05
"PELT AR1 approximate",175,16,6.11080743162786e-05,5.99773755656195e-05,5.98416289592756e-05,6.02256328726944e-05
"PELT AR1 approximate",177,16,6.10446672762898e-05,5.94594594594668e-05,5.93677387795008e-05,5.97291182585445e-05
"PELT AR1 approximate",179,16,6.00549926367445e-05,5.90497737556487e-05,5.88235294117816e-05,5.95022624434208e-05
"PELT AR1 approximate",181,16,5.85190857825286e-05,5.85031879884908e-05,5.83710407239905e-05,5.86486486486137e-05
"PELT AR1 approximate",183,16,5.8766697332874e-05,5.81339712918512e-05,5.81081081081474e-05,5.83710407239905e-05
"PELT AR1 approximate",185,16,5.92859947349051e-05,5.8144796380053e-05,5.7918552036167e-05,5.83472255298621e-05
"PELT AR1 approximate",187,15,5.81874380605014e-05,5.7632769707064e-05,5.72972972972944e-05,5.79185520362184e-05
"PELT AR1 approximate",189,15,5.75873506601072e-05,5.72972972972944e-05,5.71564658251986e-05,5.77272727272512e-05
"PELT AR1 approximate",191,16,5.75143323488878e-05,5.70135746606228e-05,5.68181818181818e-05,5.71266968325658e-05
"PELT AR1 approximate",193,16,5.72732365490721e-05,5.66688213746865e-05,5.65610859728507e-05,5.67720435367517e-05
"PELT AR1 approximate",195,16,5.66076189146121e-05,5.65237862296767e-05,5.62162162162388e-05,5.67873303167367e-05
"PELT AR1 approximate",197,16,5.69216819216805e-05,5.6410664057703e-05,5.63059489529837e-05,5.65610859728507e-05
"PELT AR1 approximate",199,16,5.68930818287423e-05,5.58823529411668e-05,5.56756756757111e-05,5.6122994652394e-05
"PELT inflated",1,16,0.003716251499064,0.00370945945945945,0.00369090909090909,0.00374545454545454
"PELT inflated",2,16,0.0020255041973792,0.00200675675675676,0.00200000000000001,0.00202727272727272
"PELT inflated",3,16,0.00149480713874096,0.00149999999999999,0.00145945945945947,0.00151136363636364
"PELT inflated",4,16,0.00123057470649383,0.00119545454545454,0.00118099547511313,0.00125909090909088
"PELT inflated",5,16,0.00103932190623367,0.00102481553952142,0.00101129183482125,0.00106125051419167
"PELT inflated",6,16,0.000925594572745306,0.000931528813881765,0.000913636363636334,0.000937121212121187
"PELT inflated",7,16,0.000828891145619083,0.000819724393253804,0.000805429864253381,0.000838636363636363
"PELT inflated",8,16,0.000838727626871009,0.000820454545454539,0.000752272727272734,0.000918366927190459
"PELT inflated",9,16,0.000710072452822917,0.000702951460304407,0.000697716619318187,0.000722743084121756
"PELT inflated",10,16,0.000679037552521001,0.000665990259740226,0.000661363636363629,0.000669683257918535
"PELT inflated",11,16,0.000666704159810771,0.000666675236528139,0.000652272727272741,0.000677272727272731
"PELT inflated",12,16,0.000618034387611599,0.000604975429975476,0.000601809954751175,0.000611363636363616
"PELT inflated",13,16,0.000598120791141245,0.00058957219251338,0.00058409090909092,0.00059808238636365
"PELT inflated",14,16,0.000585572191557945,0.000575,0.00056590909090908,0.000589607286096236
"PELT inflated",15,16,0.000559551597051593,0.00055909090909093,0.000547727272727304,0.000563636363636407
"PELT inflated",16,16,0.000566751593342812,0.000553409090909085,0.000543181818181763,0.000578378378378413
"PELT inflated",17,16,0.000553619162920634,0.000538564376799632,0.000520454545454576,0.000585565110565122
"PELT inflated",18,16,0.000538710832644651,0.00052247474747472,0.000512499999999993,0.000536363636363646
"PELT inflated",19,16,0.000525408976953097,0.00051666666666667,0.000511111111111151,0.000524999999999988
"PELT inflated",20,16,0.000506926358562387,0.000500020110608312,0.000493212669683298,0.00050908589572194
"PELT inflated",21,16,0.000506443651848065,0.000496224119018211,0.000490900178253139,0.00051060606060613
"PELT inflated",22,16,0.000496660894749126,0.000484917043740595,0.000481360053235039,0.000496969696969744
"PELT inflated",23,16,0.000496828039475078,0.000483549522373003,0.000481146304675656,0.00048636363636359
"PELT inflated",24,16,0.000490680304172954,0.000484512546277267,0.000471111111111213,0.000495454545454543
"PELT inflated",25,16,0.000486058444293738,0.000479638009049835,0.000472096530920042,0.000486147561588713
"PELT inflated",26,16,0.000490731803250181,0.000478661616161601,0.000472727272727291,0.000498909913615772
"PELT inflated",27,16,0.000482492411426231,0.000472357968828561,0.00046515151515154,0.000481146304675656
"PELT inflated",28,16,0.000480078542780744,0.000470893322363946,0.000464555052790336,0.000492045454545425
"PELT inflated",29,16,0.000477879730563543,0.000466721970839627,0.000459999999999986,0.000484848484848475
"PELT inflated",30,16,0.000473005910579443,0.000460015082956258,0.000457010364436831,0.000463046757164429
"PELT inflated",31,16,0.000480656051464886,0.000466365007541432,0.000455505279034722,0.000499255279034716
"PELT inflated",32,16,0.000459744103935284,0.000453513643219543,0.000449472096530923,0.00046003702180178
"PELT inflated",33,16,0.000463907742584213,0.000452777777777803,0.000447963800905016,0.000464444444444452
"PELT inflated",34,16,0.0004603954597337,0.000454271218977101,0.000448217811600135,0.000465894236482467
"PELT inflated",35,16,0.000449650406782746,0.000443941679235803,0.000440422322775223,0.00045098039215683
"PELT inflated",36,16,0.000465585721468093,0.000461538461538479,0.000449472096530923,0.000475757575757608
"PELT inflated",37,16,0.000467770836189964,0.000459276018099576,0.000450980392156916,0.000473563348416305
"PELT inflated",38,16,0.000456442264843007,0.000450493624023039,0.000438636363636391,0.000468888888888917
"PELT inflated",39,16,0.000463681555372743,0.000446969696969678,0.000440909090909172,0.00048666666666678
"PELT inflated",40,16,0.000469764150269696,0.000448220896750365,0.000443438914027123,0.000477375565610803
"PELT inflated",41,16,0.000465587921065837,0.000454736048265454,0.000438914027149402,0.000490000000000034
"PELT inflated",42,16,0.000464413850038824,0.000450708898944116,0.000439393939393884,0.000486363636363504
"PELT inflated",43,16,0.000469876482817676,0.000456131017895716,0.000443438914027295,0.000493939393939427
"PELT inflated",44,16,0.000483284885049588,0.000475414781297195,0.000447963800904844,0.000518099547511407
"PELT inflated",45,16,0.00044695075757577,0.000444695827048874,0.000435897435897417,0.000453996983408815
"PELT inflated",46,16,0.000475429864253394,0.000468627450980441,0.000460000000000112,0.000484162895927642
"PELT inflated",47,16,0.000463828242835621,0.000457013574660715,0.000453996983408815,0.000461538461538522
"PELT inflated",48,16,0.000456858431601047,0.000450688788335897,0.000437405731523324,0.000458109602815485
"PELT inflated",49,16,0.000454484391194005,0.000447878787878877,0.000445449974861827,0.000461363636363578
"PELT inflated",50,16,0.000451343468622885,0.000453242835595776,0.000446464646464648,0.000455505279034722
"PELT inflated",51,16,0.000451158273915647,0.000450226244343876,0.000445952025915285,0.000452488687782908
"PELT inflated",52,16,0.000470022167375084,0.000456681749622834,0.000447963800905016,0.000476666666666637
"PELT inflated",53,16,0.000446203865578829,0.000440662278897636,0.000438914027149316,0.000449577677224726
"PELT inflated",54,16,0.000457358111659607,0.000453242835595776,0.000446455505279109,0.000463046757164429
"PELT inflated",55,16,0.000473998411719009,0.000458506787330434,0.000447019059371931,0.000500754147812962
"PELT inflated",56,16,0.000445785684903329,0.000447315233785865,0.000440422322775138,0.000449739476210085
"PELT inflated",57,16,0.000449435931715354,0.000444947209653116,0.000440422322775309,0.000450226244343876
"PELT inflated",58,16,0.00047108617281415,0.000464555052790422,0.000443438914027295,0.000493939393939427
"PELT inflated",59,16,0.00046637489144843,0.00045777777777769,0.000447209653091977,0.000475582202111733
"PELT inflated",60,16,0.000453765482883142,0.00044494720965303,0.000439393939393884,0.000451515151515154
"PELT inflated",61,16,0.000461644299328115,0.00044570707070709,0.000438914027149402,0.000463636363636252
"PELT inflated",62,16,0.000455390728552477,0.00045366515837106,0.000449999999999866,0.000459294871794816
"PELT inflated",63,16,0.000454056258284224,0.000437424242424245,0.000435726495726515,0.000443438914027295
"PELT inflated",64,16,0.000453390722839247,0.000449537456008161,0.000438914027149231,0.000455786370492216
"PELT inflated",65,16,0.000485138803190283,0.000493181818181783,0.000452488687782908,0.000516666666666702
